출발지,도착지,소요시간(분)
도쿄 디즈니랜드,리쿠기엔,48.0
도쿄 디즈니랜드,롯폰기 힐스,39.0
도쿄 디즈니랜드,레인보우 브리지,41.0
도쿄 디즈니랜드,나카미세도리,39.0
도쿄 디즈니랜드,간다 신사 (간다 묘진),40.0
도쿄 디즈니랜드,스미다 공원,38.0
도쿄 디즈니랜드,오다이바 해변공원,28.0
도쿄 디즈니랜드,모리 타워,42.0
도쿄 디즈니랜드,도쿄역,16.0
도쿄 디즈니랜드,도쿄돔,42.0
도쿄 디즈니랜드,도쿄 돔시티,42.0
도쿄 디즈니랜드,호피 거리,44.0
도쿄 디즈니랜드,아사쿠사 신사,43.0
도쿄 디즈니랜드,도쿄도 현대미술관,41.0
도쿄 디즈니랜드,긴자 식스,28.0
도쿄 디즈니랜드,도쿄 대학,43.0
도쿄 디즈니랜드,도쿄 빅사이트,23.0
도쿄 디즈니랜드,도쿄 국립 박물관,38.0
도쿄 디즈니랜드,조죠지,41.0
도쿄 디즈니랜드,시바 공원,38.0
도쿄 디즈니랜드,우에노 공원,33.0
도쿄 디즈니랜드,Shibuya Scramble Crossing,37.0
도쿄 디즈니랜드,신주쿠 교 엔,44.0
도쿄 디즈니랜드,도쿄 조이 폴리스,30.0
도쿄 디즈니랜드,킷데 마루노우치,18.0
도쿄 디즈니랜드,오모테산도 힐즈,38.0
도쿄 디즈니랜드,네즈 미술관,42.0
도쿄 디즈니랜드,아메요코 쇼핑가,31.0
도쿄 디즈니랜드,모리 미술관,42.0
도쿄 디즈니랜드,Tokyo Station Gallery,33.0
도쿄 디즈니랜드,Street Kart Tokyo Bay,21.0
도쿄 디즈니랜드,쓰키시마 몬자거리,22.0
도쿄 디즈니랜드,사쿠라 포토 스튜디오,38.0
도쿄 디즈니랜드,하네다국제공항,44.0
도쿄 디즈니랜드,도쿄 소라마치,42.0
도쿄 디즈니랜드,미쓰비시1호관미술관,19.0
도쿄 디즈니랜드,도쿄도 미술관,36.0
도쿄 디즈니랜드,다이마루 백화점 도쿄점,30.0
도쿄 디즈니랜드,미타카의 숲 지브리 미술관,70.0
도쿄 디즈니랜드,도쿄 국립 근대 미술관,31.0
도쿄 디즈니랜드,빅카메라 유라쿠초점,20.0
도쿄 디즈니랜드,네즈신사,43.0
도쿄 디즈니랜드,센가쿠 절,40.0
도쿄 디즈니랜드,쓰키지 수산시장,24.0
도쿄 디즈니랜드,스파 라쿠아,38.0
도쿄 디즈니랜드,도쿄 미드타운,40.0
도쿄 디즈니랜드,국립 서양 미술관,30.0
도쿄 디즈니랜드,도호 시네마즈 신주쿠,48.0
도쿄 디즈니랜드,신주쿠 골든 거리,47.0
도쿄 디즈니랜드,하마리큐 은사정원,32.0
도쿄 디즈니랜드,Shibuya Center-Street,37.0
도쿄 디즈니랜드,시나가와 수족관,55.0
도쿄 디즈니랜드,맥셀 아쿠아 파크 시나가와,40.0
도쿄 디즈니랜드,오다이바 자유의 여신상,33.0
도쿄 디즈니랜드,도쿄만 아쿠아라인 우미호타루,93.0
도쿄 디즈니랜드,구 이와사키 저택 정원,38.0
센소지사,도쿄 타워,36.0
센소지사,메이지 신궁,48.0
센소지사,메이지 신궁 외원,34.0
센소지사,도쿄 스카이트리,6.0
센소지사,도쿄 디즈니랜드,40.0
센소지사,고쿄 히가시 교엔,27.0
센소지사,도쿄 디즈니씨,56.0
센소지사,도쿄도청 전망대,40.0
센소지사,에도도쿄건축정원,75.0
센소지사,센소지 가미나리몬,0.0
센소지사,도쿄 국립신미술관,39.0
센소지사,시부야 스카이,39.0
센소지사,야나카긴자,26.0
센소지사,리쿠기엔,32.0
센소지사,롯폰기 힐스,37.0
센소지사,레인보우 브리지,54.0
센소지사,나카미세도리,0.0
센소지사,간다 신사 (간다 묘진),17.0
센소지사,스미다 공원,0.0
센소지사,오다이바 해변공원,46.0
센소지사,모리 타워,40.0
센소지사,도쿄역,17.0
센소지사,도쿄돔,25.0
센소지사,도쿄 돔시티,27.0
센소지사,호피 거리,0.0
센소지사,아사쿠사 신사,0.0
센소지사,도쿄도 현대미술관,25.0
센소지사,긴자 식스,23.0
센소지사,도쿄 대학,21.0
센소지사,도쿄 빅사이트,53.0
센소지사,도쿄 국립 박물관,20.0
센소지사,조죠지,31.0
센소지사,시바 공원,31.0
센소지사,우에노 공원,14.0
센소지사,Shibuya Scramble Crossing,39.0
센소지사,신주쿠 교 엔,37.0
센소지사,도쿄 조이 폴리스,49.0
센소지사,킷데 마루노우치,20.0
센소지사,오모테산도 힐즈,39.0
센소지사,네즈 미술관,43.0
센소지사,아메요코 쇼핑가,14.0
센소지사,모리 미술관,42.0
센소지사,Tokyo Station Gallery,20.0
센소지사,Street Kart Tokyo Bay,51.0
센소지사,쓰키시마 몬자거리,30.0
센소지사,사쿠라 포토 스튜디오,0.0
센소지사,하네다국제공항,51.0
센소지사,도쿄 소라마치,6.0
센소지사,미쓰비시1호관미술관,26.0
센소지사,도쿄도 미술관,20.0
센소지사,다이마루 백화점 도쿄점,21.0
센소지사,미타카의 숲 지브리 미술관,57.0
센소지사,도쿄 국립 근대 미술관,27.0
센소지사,빅카메라 유라쿠초점,24.0
센소지사,네즈신사,24.0
센소지사,센가쿠 절,31.0
센소지사,쓰키지 수산시장,26.0
센소지사,스파 라쿠아,24.0
센소지사,도쿄 미드타운,39.0
센소지사,국립 서양 미술관,15.0
센소지사,도호 시네마즈 신주쿠,42.0
센소지사,신주쿠 골든 거리,39.0
센소지사,하마리큐 은사정원,31.0
센소지사,Shibuya Center-Street,40.0
센소지사,시나가와 수족관,52.0
센소지사,맥셀 아쿠아 파크 시나가와,33.0
센소지사,오다이바 자유의 여신상,48.0
센소지사,도쿄만 아쿠아라인 우미호타루,91.0
센소지사,구 이와사키 저택 정원,17.0
고쿄 히가시 교엔,도쿄 타워,21.0
고쿄 히가시 교엔,메이지 신궁,36.0
고쿄 히가시 교엔,메이지 신궁 외원,23.0
고쿄 히가시 교엔,도쿄 스카이트리,23.0
고쿄 히가시 교엔,도쿄 디즈니랜드,35.0
고쿄 히가시 교엔,센소지사,29.0
고쿄 히가시 교엔,도쿄 디즈니씨,51.0
